LotFrontage,SalePrice
65.0,208500
80.0,181500
68.0,223500
60.0,140000
84.0,250000
85.0,143000
75.0,307000
70.04995836802665,200000
51.0,129900
50.0,118000
70.0,129500
85.0,345000
70.04995836802665,144000
91.0,279500
70.04995836802665,157000
51.0,132000
70.04995836802665,149000
72.0,90000
66.0,159000
70.0,139000
101.0,325300
57.0,139400
75.0,230000
44.0,129900
70.04995836802665,154000
110.0,256300
60.0,134800
98.0,306000
47.0,207500
60.0,68500
50.0,40000
70.04995836802665,149350
85.0,179900
70.0,165500
60.0,277500
108.0,309000
112.0,145000
74.0,153000
68.0,109000
65.0,82000
84.0,160000
115.0,170000
70.04995836802665,144000
70.04995836802665,130250
70.0,141000
61.0,319900
48.0,239686
84.0,249700
33.0,113000
66.0,127000
70.04995836802665,177000
52.0,114500
110.0,110000
68.0,385000
60.0,130000
100.0,180500
24.0,172500
89.0,196500
66.0,438780
60.0,124900
63.0,158000
60.0,101000
44.0,202500
50.0,140000
70.04995836802665,219500
76.0,317000
70.04995836802665,180000
72.0,226000
47.0,80000
81.0,225000
95.0,244000
69.0,129500
74.0,185000
85.0,144900
60.0,107400
21.0,91000
70.04995836802665,135750
50.0,127000
72.0,136500
60.0,110000
100.0,193500
32.0,153500
78.0,245000
80.0,126500
70.04995836802665,168500
121.0,260000
122.0,174000
40.0,164500
105.0,85000
60.0,123600
60.0,109900
85.0,98600
80.0,163500
60.0,133900
69.0,204750
70.04995836802665,185000
78.0,214000
73.0,94750
85.0,83000
77.0,128950
70.04995836802665,205000
77.0,178000
64.0,118964
94.0,198900
70.04995836802665,169500
75.0,250000
60.0,100000
50.0,115000
85.0,115000
105.0,190000
75.0,136900
70.04995836802665,180000
77.0,383970
70.04995836802665,217000
61.0,259500
34.0,176000
70.04995836802665,139000
74.0,155000
90.0,320000
65.0,163990
70.04995836802665,180000
50.0,100000
75.0,136000
55.0,153900
48.0,181000
60.0,84500
70.04995836802665,128000
55.0,87000
69.0,155000
69.0,150000
88.0,226000
70.04995836802665,244000
75.0,150750
70.04995836802665,220000
78.0,180000
80.0,174000
70.04995836802665,143000
82.0,171000
73.0,230000
65.0,231500
70.0,115000
78.0,260000
71.0,166000
78.0,204000
70.0,125000
24.0,130000
51.0,105000
70.04995836802665,222500
63.0,141000
70.04995836802665,115000
120.0,122000
107.0,372402
70.04995836802665,190000
70.04995836802665,235000
84.0,125000
60.0,79000
60.0,109500
92.0,269500
100.0,254900
134.0,320000
70.04995836802665,162500
110.0,412500
95.0,220000
55.0,103200
40.0,152000
62.0,127500
70.04995836802665,190000
86.0,325624
62.0,183500
70.04995836802665,228000
70.04995836802665,128500
141.0,215000
44.0,239000
80.0,163000
47.0,184000
84.0,243000
97.0,211000
70.04995836802665,172500
63.0,501837
60.0,100000
70.04995836802665,177000
54.0,200100
60.0,120000
63.0,200000
92.0,127000
90.0,475000
70.04995836802665,173000
60.0,135000
64.0,153337
41.0,286000
70.0,315000
70.04995836802665,184000
68.0,192000
24.0,130000
60.0,127000
24.0,148500
79.0,311872
174.0,235000
92.0,104000
76.0,274900
80.0,140000
75.0,171500
50.0,112000
70.04995836802665,149000
50.0,110000
99.0,180500
40.0,143900
70.04995836802665,141000
70.04995836802665,277000
75.0,145000
67.0,98000
83.0,186000
72.0,252678
43.0,156000
70.04995836802665,161750
72.0,134450
65.0,210000
57.0,107000
70.04995836802665,311500
43.0,167240
73.0,204900
70.04995836802665,200000
85.0,179900
70.0,97000
103.0,386250
21.0,112000
82.0,290000
21.0,106000
70.0,125000
43.0,192500
73.0,148000
174.0,403000
21.0,94500
75.0,128200
70.04995836802665,216500
21.0,89500
65.0,185500
70.04995836802665,194500
93.0,318000
52.0,113000
75.0,262500
40.0,110500
63.0,79000
75.0,120000
70.04995836802665,205000
80.0,241500
69.0,137000
75.0,140000
72.0,180000
70.04995836802665,277000
55.0,76500
44.0,235000
65.0,173000
85.0,158000
70.0,145000
66.0,230000
64.0,207500
68.0,220000
80.0,231500
70.0,97000
120.0,176000
69.0,276000
88.0,151000
50.0,130000
30.0,73000
78.0,175500
70.0,185000
60.0,179500
71.0,120500
70.04995836802665,148000
84.0,266000
73.0,241500
92.0,290000
80.0,139000
76.0,124500
55.0,205000
129.0,201000
140.0,141000
107.0,415298
83.0,192000
82.0,228500
60.0,185000
34.0,207500
74.0,244600
50.0,179200
35.0,164700
77.0,159000
70.04995836802665,88000
70.04995836802665,122000
60.0,153575
120.0,233230
55.0,135900
60.0,131000
70.04995836802665,235000
80.0,167000
37.0,142500
75.0,152000
66.0,239000
90.0,175000
80.0,158500
90.0,157000
66.0,267000
118.0,205000
70.0,149900
87.0,295000
80.0,305900
116.0,225000
70.04995836802665,89500
70.04995836802665,82500
90.0,360000
70.04995836802665,165600
50.0,132000
65.0,119900
150.0,375000
60.0,178000
71.0,188500
94.0,260000
75.0,270000
90.0,260000
70.04995836802665,187500
111.0,342643
99.0,354000
86.0,301000
49.0,126175
96.0,242000
50.0,87000
32.0,324000
80.0,145250
70.04995836802665,214500
60.0,78000
70.04995836802665,119000
70.0,139000
85.0,284000
59.0,207000
59.0,192000
70.04995836802665,228950
86.0,377426
70.0,214000
91.0,202500
66.0,155000
85.0,202900
60.0,82000
70.04995836802665,87500
63.0,266000
36.0,85000
65.0,140200
70.04995836802665,151500
70.04995836802665,157500
36.0,154000
56.0,437154
68.0,318061
70.04995836802665,190000
60.0,95000
60.0,105900
60.0,140000
105.0,177500
70.04995836802665,173000
44.0,134000
92.0,130000
78.0,280000
70.04995836802665,156000
70.04995836802665,145000
64.0,198500
21.0,118000
70.04995836802665,190000
59.0,147000
70.04995836802665,159000
101.0,165000
78.0,132000
70.04995836802665,162000
70.04995836802665,172400
80.0,134432
50.0,125000
79.0,123000
65.0,219500
70.04995836802665,61000
57.0,148000
102.0,340000
88.0,394432
60.0,179000
50.0,127000
60.0,187750
79.0,213500
60.0,76000
70.04995836802665,240000
43.0,192000
58.0,81000
72.0,125000
93.0,191000
96.0,426000
50.0,119000
71.0,215000
70.04995836802665,106500
70.04995836802665,100000
60.0,109000
68.0,129000
60.0,123000
69.0,169500
60.0,67000
65.0,241000
38.0,245500
65.0,164990
60.0,108000
93.0,258000
70.04995836802665,168000
70.04995836802665,150000
51.0,115000
63.0,177000
109.0,280000
85.0,339750
68.0,60000
100.0,145000
70.04995836802665,222000
56.0,115000
59.0,228000
73.0,181134
74.0,149500
86.0,239000
60.0,126000
65.0,142000
78.0,206300
70.04995836802665,215000
100.0,113000
80.0,315000
72.0,139000
60.0,135000
70.04995836802665,275000
77.0,109008
64.0,195400
130.0,175000
21.0,85400
60.0,79900
24.0,122500
100.0,181000
21.0,81000
43.0,212000
40.0,116000
50.0,119000
40.0,90350
67.0,110000
105.0,555000
92.0,118000
52.0,162900
53.0,172500
70.0,210000
73.0,127500
137.0,190000
70.04995836802665,199900
50.0,119500
50.0,120000
70.0,110000
62.0,280000
70.04995836802665,204000
75.0,210000
63.0,188000
80.0,175500
34.0,98000
70.04995836802665,256000
70.04995836802665,161000
70.04995836802665,110000
75.0,263435
60.0,155000
60.0,62383
74.0,188700
60.0,124000
70.04995836802665,178740
85.0,167000
79.0,146500
98.0,250000
76.0,187000
70.04995836802665,212000
92.0,190000
35.0,148000
110.0,440000
41.0,251000
80.0,132500
75.0,208900
105.0,380000
79.0,297000
50.0,89471
98.0,326000
72.0,374000
50.0,155000
32.0,164000
70.04995836802665,132500
80.0,147000
79.0,156000
70.0,175000
60.0,160000
21.0,86000
70.04995836802665,115000
79.0,133000
105.0,172785
70.0,155000
50.0,91300
60.0,34900
70.04995836802665,430000
60.0,184000
65.0,130000
70.0,120000
21.0,113000
75.0,226700
70.0,140000
100.0,289000
24.0,147000
60.0,124500
80.0,215000
75.0,208300
60.0,161000
80.0,124500
75.0,164900
40.0,202665
70.0,129900
71.0,134000
55.0,96500
94.0,402861
70.04995836802665,158000
79.0,265000
70.04995836802665,211000
53.0,234000
60.0,106250
90.0,150000
50.0,159000
130.0,184750
95.0,315750
62.0,176000
70.0,132000
67.0,446261
58.0,86000
70.04995836802665,200624
85.0,175000
60.0,128000
60.0,107500
50.0,39300
74.0,178000
70.0,107500
57.0,188000
70.04995836802665,111250
70.04995836802665,158000
70.04995836802665,272000
85.0,315000
70.04995836802665,248000
78.0,213250
34.0,133000
58.0,179665
70.04995836802665,229000
70.0,210000
54.0,129500
49.0,125000
75.0,263000
53.0,140000
50.0,112500
87.0,255500
67.0,108000
85.0,284000
58.0,113000
69.0,141000
60.0,108000
57.0,175000
70.04995836802665,234000
70.04995836802665,121500
77.0,170000
63.0,108000
66.0,185000
70.04995836802665,268000
66.0,128000
77.0,325000
70.0,214000
79.0,316600
70.04995836802665,135960
74.0,142600
60.0,120000
83.0,224500
76.0,170000
70.0,139000
80.0,118500
52.0,145000
96.0,164500
34.0,146000
81.0,131500
70.04995836802665,181900
98.0,253293
81.0,118500
75.0,325000
51.0,133000
88.0,369900
55.0,130000
74.0,137000
65.0,143000
50.0,79500
64.0,185900
97.0,451950
60.0,138000
70.04995836802665,140000
88.0,110000
69.0,319000
60.0,114504
53.0,194201
80.0,217500
24.0,151000
74.0,275000
50.0,141000
80.0,220000
30.0,151000
88.0,221000
85.0,205000
82.0,152000
78.0,225000
78.0,359100
61.0,118500
70.04995836802665,313000
70.04995836802665,148000
70.04995836802665,261500
70.0,147000
21.0,75500
80.0,137500
70.04995836802665,183200
59.0,105500
90.0,314813
85.0,305000
45.0,67000
90.0,240000
71.0,135000
70.04995836802665,168500
80.0,165150
87.0,160000
70.04995836802665,139900
80.0,153000
70.0,135000
82.0,168500
50.0,124000
34.0,209500
85.0,82500
80.0,139400
64.0,144000
60.0,200000
51.0,60000
50.0,93000
67.0,85000
53.0,264561
62.0,274000
70.04995836802665,226000
75.0,345000
80.0,152000
85.0,370878
70.04995836802665,143250
60.0,98300
85.0,155000
70.0,155000
21.0,84500
65.0,205950
60.0,108000
70.0,191000
60.0,135000
91.0,350000
21.0,88000
72.0,145500
60.0,149000
78.0,97500
75.0,167000
70.04995836802665,197900
52.0,402000
120.0,110000
90.0,137500
49.0,423000
106.0,230500
70.04995836802665,129000
65.0,193500
70.04995836802665,168000
80.0,137500
64.0,173500
54.0,103600
70.04995836802665,165000
110.0,257500
80.0,140000
24.0,148500
60.0,87000
52.0,109500
80.0,372500
70.04995836802665,128500
50.0,143000
55.0,159434
70.04995836802665,173000
90.0,285000
58.0,221000
70.04995836802665,207500
84.0,227875
70.04995836802665,148800
60.0,392000
61.0,194700
70.04995836802665,141000
104.0,755000
42.0,335000
60.0,108480
51.0,141500
54.0,176000
50.0,89000
57.0,123500
65.0,138500
59.0,196000
85.0,312500
80.0,140000
82.0,361919
76.0,140000
70.0,213000
70.0,55000
70.04995836802665,302000
48.0,254000
65.0,179540
70.04995836802665,109900
56.0,52000
66.0,102776
40.0,189000
60.0,129000
70.04995836802665,130500
78.0,165000
60.0,159500
80.0,157000
96.0,341000
69.0,128500
70.04995836802665,275000
70.04995836802665,143000
70.0,124500
60.0,135000
86.0,320000
60.0,120500
70.04995836802665,222000
64.0,194500
85.0,110000
52.0,103000
39.0,236500
73.0,187500
75.0,222500
80.0,131400
70.04995836802665,108000
60.0,163000
60.0,93500
72.0,239900
60.0,179000
65.0,190000
60.0,132000
65.0,142000
65.0,179000
70.0,175000
41.0,180000
70.04995836802665,299800
70.04995836802665,236000
65.0,265979
59.0,260400
50.0,98000
55.0,96500
70.04995836802665,162000
79.0,217000
80.0,275500
61.0,156000
34.0,172500
68.0,212000
70.04995836802665,158900
24.0,179400
65.0,290000
70.0,127500
60.0,100000
72.0,215200
82.0,337000
30.0,270000
75.0,264132
80.0,196500
75.0,160000
70.0,216837
47.0,538000
70.04995836802665,134900
67.0,102000
94.0,107000
70.0,114500
110.0,395000
32.0,162000
86.0,221500
100.0,142500
60.0,144000
78.0,135000
63.0,176000
65.0,175900
67.0,187100
70.04995836802665,165500
35.0,128000
70.04995836802665,161500
60.0,139000
76.0,233000
50.0,107900
70.04995836802665,187500
43.0,160200
70.04995836802665,146800
92.0,269790
76.0,225000
70.04995836802665,194500
70.0,171000
71.0,143500
57.0,110000
104.0,485000
60.0,175000
79.0,200000
40.0,109900
63.0,189000
107.0,582933
75.0,118000
91.0,227680
75.0,135500
144.0,223500
85.0,159950
90.0,106000
78.0,181000
70.04995836802665,144500
66.0,55993
75.0,157900
45.0,116000
48.0,224900
70.04995836802665,137000
70.04995836802665,271000
80.0,155000
44.0,224000
72.0,183000
60.0,93000
70.04995836802665,225000
60.0,139500
81.0,232600
114.0,385000
50.0,109500
65.0,189000
70.04995836802665,185000
24.0,147400
80.0,166000
30.0,151000
44.0,237000
100.0,167000
75.0,139950
60.0,128000
90.0,153500
21.0,100000
75.0,144000
70.0,130500
70.04995836802665,140000
60.0,157500
82.0,174900
80.0,141000
100.0,153900
70.04995836802665,171000
75.0,213000
36.0,133500
75.0,240000
80.0,187000
36.0,131500
70.04995836802665,215000
53.0,164000
70.04995836802665,158000
102.0,170000
70.04995836802665,127000
70.04995836802665,147000
65.0,174000
80.0,152000
70.04995836802665,250000
55.0,189950
75.0,131500
81.0,152000
70.0,132500
72.0,250580
70.04995836802665,148500
67.0,248900
85.0,129000
70.04995836802665,169000
80.0,236000
60.0,109500
70.0,200500
74.0,116000
60.0,133000
52.0,66500
75.0,303477
94.0,132250
74.0,350000
88.0,148000
70.04995836802665,136500
60.0,157000
44.0,187500
70.04995836802665,178000
60.0,118500
65.0,100000
50.0,328900
70.0,145000
59.0,135500
95.0,268000
128.0,149500
60.0,122900
70.0,172500
70.0,154500
70.04995836802665,165000
64.0,118858
71.0,140000
50.0,106500
64.0,142953
100.0,611657
65.0,135000
70.04995836802665,110000
64.0,153000
63.0,180000
50.0,240000
70.04995836802665,125500
80.0,128000
116.0,255000
86.0,250000
70.04995836802665,131000
149.0,174000
80.0,154300
70.04995836802665,143500
51.0,88000
82.0,145000
30.0,173733
21.0,75000
50.0,35311
70.04995836802665,135000
103.0,238000
87.0,176500
70.0,201000
67.0,145900
65.0,169990
50.0,193000
79.0,207500
70.04995836802665,175000
93.0,285000
70.04995836802665,176000
70.04995836802665,236500
70.04995836802665,222000
73.0,201000
70.0,117500
84.0,320000
63.0,190000
313.0,242000
52.0,79900
67.0,184900
75.0,253000
73.0,239799
70.04995836802665,244400
55.0,150900
70.04995836802665,214000
42.0,150000
100.0,143000
70.04995836802665,137500
98.0,124900
70.0,143000
85.0,270000
65.0,192500
78.0,197500
60.0,129000
60.0,119900
60.0,133900
70.04995836802665,172000
35.0,127500
82.0,145000
24.0,124000
70.0,132000
65.0,185000
24.0,155000
50.0,116500
70.04995836802665,272000
24.0,155000
122.0,239000
80.0,214900
65.0,178900
130.0,160000
70.04995836802665,135000
50.0,37900
75.0,140000
60.0,135000
36.0,173000
55.0,99500
95.0,182000
60.0,167500
70.04995836802665,165000
51.0,85500
35.0,199900
68.0,110000
80.0,139000
70.04995836802665,178400
98.0,336000
43.0,159895
70.04995836802665,255900
75.0,126000
68.0,125000
59.0,117000
83.0,395192
70.04995836802665,195000
65.0,197000
82.0,348000
121.0,168000
80.0,187000
68.0,173900
96.0,337500
51.0,121600
70.04995836802665,136500
70.04995836802665,185000
60.0,91000
64.0,206000
74.0,82000
60.0,86000
75.0,232000
70.04995836802665,136905
43.0,181000
65.0,149900
70.04995836802665,163500
21.0,88000
43.0,240000
60.0,102000
115.0,135000
75.0,100000
55.0,165000
60.0,85000
60.0,119200
70.0,227000
73.0,203000
70.04995836802665,187500
70.04995836802665,160000
43.0,213490
60.0,176000
64.0,194000
52.0,87000
43.0,191000
70.04995836802665,287000
70.0,112500
73.0,167500
71.0,293077
79.0,105000
21.0,118000
70.04995836802665,160000
102.0,197000
70.04995836802665,310000
70.04995836802665,230000
50.0,119750
70.04995836802665,84000
89.0,315500
70.04995836802665,287000
21.0,97000
21.0,80000
88.0,155000
70.04995836802665,173000
34.0,196000
86.0,262280
80.0,278000
70.04995836802665,139600
85.0,556581
57.0,145000
100.0,115000
60.0,84900
73.0,176485
103.0,200141
100.0,165000
68.0,144500
90.0,255000
104.0,180000
43.0,185850
70.04995836802665,248000
96.0,335000
70.04995836802665,220000
41.0,213500
120.0,81000
85.0,90000
50.0,110500
70.04995836802665,154000
80.0,328000
59.0,178000
80.0,167900
42.0,151400
60.0,135000
72.0,135000
78.0,154000
50.0,91500
75.0,159500
74.0,194000
75.0,219500
60.0,170000
70.04995836802665,138800
37.0,155900
65.0,126000
80.0,145000
75.0,133000
70.0,192000
80.0,160000
70.04995836802665,187500
73.0,147000
70.04995836802665,83500
85.0,252000
24.0,137500
37.0,197000
60.0,92900
24.0,160000
60.0,136500
71.0,146000
74.0,129000
78.0,176432
60.0,127000
70.04995836802665,170000
50.0,128000
82.0,157000
60.0,60000
61.0,119500
70.0,135000
79.0,159500
24.0,106000
98.0,325000
114.0,179900
168.0,274725
70.04995836802665,181000
107.0,280000
70.04995836802665,188000
80.0,205000
73.0,129900
66.0,134500
90.0,117000
93.0,318000
70.04995836802665,184100
57.0,130000
85.0,140000
70.0,133700
59.0,118400
84.0,212900
70.04995836802665,112000
50.0,118000
70.04995836802665,163900
60.0,115000
53.0,174000
182.0,259000
59.0,215000
60.0,140000
65.0,135000
63.0,93500
90.0,117500
80.0,239500
57.0,169000
60.0,102000
80.0,119000
54.0,94000
70.04995836802665,196000
98.0,144000
60.0,139000
70.04995836802665,197500
77.0,424870
70.04995836802665,80000
60.0,80000
52.0,149000
70.04995836802665,180000
75.0,174500
70.04995836802665,116900
50.0,143000
57.0,124000
134.0,149900
90.0,230000
70.04995836802665,120500
70.04995836802665,201800
90.0,218000
85.0,179900
34.0,230000
92.0,235128
76.0,185000
24.0,146000
70.04995836802665,224000
109.0,129000
60.0,108959
70.04995836802665,194000
79.0,233170
64.0,245350
58.0,173000
120.0,235000
118.0,625000
76.0,171000
76.0,163000
35.0,171900
138.0,200500
80.0,239000
85.0,285000
37.0,119500
70.04995836802665,115000
54.0,154900
77.0,93000
70.04995836802665,250000
64.0,392500
160.0,745000
60.0,120000
50.0,186700
60.0,104900
107.0,95000
89.0,262000
68.0,195000
60.0,189000
70.04995836802665,168000
24.0,174000
60.0,125000
70.04995836802665,165000
80.0,158000
51.0,176000
58.0,219210
65.0,144000
70.0,178000
75.0,148000
71.0,116050
80.0,197900
50.0,117000
75.0,213000
78.0,153500
90.0,271900
70.04995836802665,107000
70.0,200000
70.0,140000
85.0,290000
70.0,189000
152.0,164000
50.0,113000
70.04995836802665,145000
69.0,134500
99.0,125000
68.0,112000
72.0,229456
52.0,80500
21.0,91500
66.0,115000
55.0,134000
78.0,143000
89.0,137900
60.0,184000
65.0,145000
86.0,214000
72.0,147000
65.0,367294
70.0,127000
70.04995836802665,190000
70.0,132500
70.0,101800
70.04995836802665,142000
55.0,130000
96.0,138887
36.0,175500
41.0,195000
63.0,142500
64.0,265900
65.0,224900
83.0,248328
85.0,170000
107.0,465000
70.04995836802665,230000
78.0,178000
65.0,186500
70.04995836802665,169900
60.0,129500
60.0,119000
93.0,244000
70.04995836802665,171750
62.0,130000
70.04995836802665,294000
60.0,165400
52.0,127500
91.0,301500
56.0,99900
59.0,190000
65.0,151000
70.04995836802665,181000
80.0,128900
70.04995836802665,161500
60.0,180500
34.0,181000
35.0,183900
60.0,122000
89.0,378500
70.04995836802665,381000
78.0,144000
70.04995836802665,260000
70.04995836802665,185750
70.04995836802665,137000
124.0,177000
53.0,139000
95.0,137000
70.04995836802665,162000
70.04995836802665,197900
75.0,237000
60.0,68400
67.0,227000
50.0,180000
61.0,150500
94.0,139000
50.0,169000
50.0,132500
70.04995836802665,143000
70.04995836802665,190000
40.0,278000
86.0,281000
70.04995836802665,180500
21.0,119500
60.0,107500
78.0,162900
60.0,115000
70.0,138500
80.0,155000
35.0,140000
313.0,160000
75.0,154000
70.04995836802665,225000
70.04995836802665,177500
92.0,290000
73.0,232000
32.0,130000
108.0,325000
48.0,202500
60.0,138000
100.0,147000
70.04995836802665,179200
100.0,335000
68.0,203000
70.04995836802665,302000
108.0,333168
60.0,119000
85.0,206900
61.0,295493
47.0,208900
70.04995836802665,275000
75.0,111000
70.0,156500
70.04995836802665,72500
107.0,190000
50.0,82500
75.0,147000
40.0,55000
70.0,79000
60.0,130500
60.0,256000
63.0,176500
85.0,227000
55.0,132500
67.0,100000
60.0,125500
24.0,125000
80.0,167900
87.0,135000
153.0,52500
95.0,200000
120.0,128500
70.0,123000
66.0,155000
70.04995836802665,228500
57.0,177000
85.0,155835
50.0,108500
70.04995836802665,262500
93.0,283463
70.04995836802665,215000
50.0,122000
91.0,200000
70.0,171000
50.0,134900
56.0,410000
70.04995836802665,235000
102.0,170000
70.04995836802665,110000
70.04995836802665,149900
70.04995836802665,177500
129.0,315000
51.0,189000
124.0,260000
70.04995836802665,104900
73.0,156932
30.0,144152
70.04995836802665,216000
68.0,193000
41.0,127000
70.04995836802665,144000
48.0,232000
90.0,105000
80.0,165500
75.0,274300
70.04995836802665,466500
85.0,250000
89.0,239000
52.0,91000
60.0,117000
21.0,83000
73.0,167500
45.0,58500
70.04995836802665,237500
60.0,157000
70.04995836802665,112000
60.0,105000
40.0,125500
80.0,250000
60.0,136000
42.0,377500
60.0,131000
70.0,235000
65.0,124000
68.0,123000
60.0,163000
53.0,246578
88.0,281213
70.04995836802665,160000
51.0,137500
60.0,138000
51.0,137450
50.0,120000
62.0,193000
64.0,193879
49.0,282922
60.0,105000
44.0,275000
70.0,133000
70.04995836802665,112000
60.0,125500
46.0,215000
79.0,230000
80.0,140000
60.0,90000
88.0,257000
64.0,207000
51.0,175900
60.0,122500
70.04995836802665,340000
71.0,124000
70.04995836802665,223000
90.0,179900
53.0,127500
37.0,136500
70.04995836802665,274970
70.04995836802665,144000
80.0,142000
81.0,271000
60.0,140000
60.0,119000
70.04995836802665,182900
60.0,192140
70.04995836802665,143750
60.0,64500
93.0,186500
80.0,160000
80.0,174000
60.0,120500
96.0,394617
90.0,149700
80.0,197000
79.0,191000
70.04995836802665,149300
85.0,310000
70.04995836802665,121000
63.0,179600
70.0,129000
70.04995836802665,157900
80.0,240000
70.0,112000
21.0,92000
60.0,136000
78.0,287090
35.0,145000
90.0,84500
62.0,185000
62.0,175000
85.0,210000
66.0,266500
68.0,142125
75.0,147500
